name,owner,encoding,collate,ctype,server
HPMS,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
NHS_NPMRDS,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
QWI,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
TaxParcels,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
WIM,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
ax,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
b3admin,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
commercehub,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
discourse,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
discourse_development,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
discourse_test,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
geocensus,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
gis,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
gtfs,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
gtfsgeocensus,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
infogroup,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
mesonet,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
njtdmData,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
ny_parcels,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
padware,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
postgres,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
puppies,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
qcew,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
stormEvents,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
tdmData,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
template0,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
template1,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
transitModeler,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
us_census,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
us_census2,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
wimClient,paul,UTF8,en_US.UTF-8,en_US.UTF-8,demeter
npmrds_api,npmrds_user,UTF8,en_US.UTF-8,en_US.UTF-8,hermes
NHS_NPMRDS,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,lor
WIM,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,lor
gtfs,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,lor
AVAILstats,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
HPMS,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
NHS_NPMRDS,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
QWI,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
TaxParcels,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
WIM,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
avail_auth,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
ax,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
b3admin,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
bds_establishment,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
bds_firm,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
commercehub,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
ctpp,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
discourse,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
discourse_development,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
discourse_test,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
gis,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
gtfs,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
gtfsgeocensus,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
height,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
infogroup,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
mesonet,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
njtdmData,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
npmrds,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
npmrds_api,npmrds_user,UTF8,en_US.UTF-8,en_US.UTF-8,mars
ny_parcels,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
padware,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
postgres,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
qcew,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
qwi_api,qwi_user,UTF8,en_US.UTF-8,en_US.UTF-8,mars
stormEvents,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
tdmData,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
template0,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
template1,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
transearch_2004,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
transearch_2012,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
transitModeler,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
us_census,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
us_census2,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars
wimClient,postgres,UTF8,en_US.UTF-8,en_US.UTF-8,mars

